id	filename	md5	size	state
00bb33c9-2d73-46a2-9e54-0d7e3ff4967c	df44de4c-6ad7-4b45-b3e9-6543c32c2d8f.FPKM.txt.gz	f394e36caf09b0a8e34357f4ab748ff9	501825	validated
01a3c0d9-5ac6-4387-b47a-59945dacbd16	323f9334-d360-4bb5-925c-8750bd1b20d2.FPKM.txt.gz	198695e311895e223474e658149d0718	473655	validated
03b50c0b-27e9-4a9a-a17a-3b3e8fd041d8	ef252631-7591-48dc-8968-c5bd855bd3ab.FPKM.txt.gz	c5dd393d302f3d29d05c9cc343115321	464070	validated
053b19f9-3943-44e6-ba3a-0307723716f2	1ef98734-2278-4169-bb7b-8a1d325af20d.FPKM.txt.gz	d2137af8eab46492c0087b4ed54957ef	502061	validated
054392f8-77a7-4484-83c7-d4e1ad2c01bc	0ead57c5-1dc1-41b0-85b8-5b0144eadd91.FPKM.txt.gz	b931baa19ccba04eaae8fe6c3be23b2d	478846	validated
054ee4ee-c382-409d-819c-f4c99d2b52ff	ba17648f-b788-458a-a78c-2bb20970d94b.FPKM.txt.gz	388e850630b48ebc307bb6dd7eff5167	462161	validated
061c8d3c-1130-45d6-80e7-1fdb81abe934	a9123cf0-c6c0-42e7-b546-f11dfac355ce.FPKM.txt.gz	cebdb77cf6b0b43cf84bcff71cf4e5e7	465122	validated
06a48c32-e272-4ef5-b185-731fce4fe8f5	1c6bb58a-3869-41f5-9fef-9070bbfedbad.FPKM.txt.gz	3d93c964ba1db43fb1d88b9e3495b708	481878	validated
073bf6ae-b605-4718-bdcf-6df3eeb12ea0	8f676c67-2594-4be6-897e-03f356f46cc5.FPKM.txt.gz	a6783f073c94366639d40d0ddfebc311	516667	validated
076b6f4e-04f3-4894-892d-91247f497d30	78dade3a-a13f-4148-ada7-c443b1d93b14.FPKM.txt.gz	4c32f8c3911b11a997b02a37cc2e8db6	470093	validated
08a0dcf6-af92-4fea-9904-ba630aa2e74a	c4c4578a-f1c2-462a-873f-c8db84fe3a6f.FPKM.txt.gz	54028d50d89cee3d34b248535927da1a	479892	validated
0b766e80-e81b-46c7-bd2d-567a65735a5c	f43699d8-3acc-445d-8ab2-9475194ebbc9.FPKM.txt.gz	98640c4e1cb3bc3508f3a456e12475c4	490510	validated
0c30dada-9410-4612-84d5-d32390d47d31	7097ca31-8322-44a6-8fe7-f0c67bbf88fe.FPKM.txt.gz	02ee279a47526ffe9cba3a87ad4b5cad	461840	validated
